"","KID","CaretypeBroad","Arrange97","Exp97Tot","Hours97Tot","Arrange","Hours97","Exp97"
"1828",2836033,"External",NA,0,0,NA,NA,NA
"1829",2836035,"External",NA,0,0,NA,NA,NA
"1830",2846176,"External",NA,0,0,NA,NA,NA
"1831",2846177,"External","Care Center",57,5,6,5,57
"1832",2847040,"External",NA,0,0,NA,NA,NA
"1833",2848036,"External",NA,0,0,NA,NA,NA
"1834",2848037,"External",NA,0,0,NA,NA,NA
"1835",2848038,"External",NA,0,0,NA,NA,NA
"1836",2848039,"External",NA,0,0,NA,NA,NA
"1837",2848040,"External","Care Center",17,8,6,8,17
"1838",2848041,"External","Care Center",0,30,6,30,0
"1839",2848042,"External","Care Center",0,30,6,30,0
"1840",2848043,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1841",2848175,"External",NA,0,0,NA,NA,NA
"1842",2848179,"External",NA,0,0,NA,NA,NA
"1843",2849031,"External",NA,0,0,NA,NA,NA
"1844",2849032,"External",NA,0,0,NA,NA,NA
"1845",2851031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1846",2851032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1847",2851033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1848",2851034,"External","Relative",135,45,1,27,75
"1849",2851035,"External","Relative",135,45,1,27,75
"1850",2852041,"External",NA,0,0,NA,NA,NA
"1851",2852046,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1852",2852048,"External","Care Center",18,40,6,40,18
"1853",2852049,"External","Care Center",0,18,6,18,0
"1854",2852050,"External","Relative",0,20,3,20,0
"1855",2852051,"External","Care Center",18,40,6,40,18
"1856",2852052,"External",NA,0,0,NA,NA,NA
"1857",2852053,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1858",2852054,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1859",2860031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1860",2860032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1861",2867032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1862",2869031,"External","Non Relative",60,32,4,32,60
"1863",2874032,"External",NA,0,0,NA,NA,NA
"1864",2874033,"External","Care Center",62.5,40,6,40,62.5
"1865",2875034,"External",NA,0,0,NA,NA,NA
"1866",2875035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1867",2876032,"External",NA,0,0,NA,NA,NA
"1868",2880030,"External","Care Center",48,12,6,12,48
"1869",2880031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1870",2881033,"External",NA,0,0,NA,NA,NA
"1871",2881036,"External","Care Center",1400,35,6,35,1400
"1872",2881037,"External",NA,0,0,NA,NA,NA
"1873",2882032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1874",2882033,"External",NA,0,0,NA,NA,NA
"1875",2882034,"External","Non Relative",0,24,4,24,0
"1876",2887036,"External",NA,0,0,NA,NA,NA
"1877",2888030,"External","Care Center",134.5,8,6,8,134.5
"1878",2890031,"External",NA,0,0,NA,NA,NA
"1879",2893031,"External","Care Center",0,35,6,35,0
"1880",2893177,"External",NA,0,0,NA,NA,NA
"1881",2895032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1882",2895033,"External",NA,0,0,NA,NA,NA
"1883",2895034,"External","Non Relative",28,4,4,4,28
"1884",2897031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1885",2897032,"External",NA,0,0,NA,NA,NA
"1886",2897033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1887",2897034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1888",2897036,"External",NA,0,0,NA,NA,NA
"1889",2897180,"External",NA,0,0,NA,NA,NA
"1890",2897182,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1891",2898031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1892",2898032,"External",NA,0,0,NA,NA,NA
"1893",2902030,"External",NA,0,0,NA,NA,NA
"1894",2902032,"External","Non Relative",160,40,4,40,160
"1895",2902033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1896",2907035,"External",NA,0,0,NA,NA,NA
"1897",2907036,"External",NA,0,0,NA,NA,NA
"1898",2907037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1899",2907038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1900",2907041,"External",NA,0,0,NA,NA,NA
"1901",2907043,"External","Relative",0,50,3,50,0
"1902",2910032,"External",NA,0,0,NA,NA,NA
"1903",2910033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1904",2916031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1905",2916032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1906",2920034,"External","Care Center",0.0576923076923077,12,6,12,0.0576923076923077
"1907",2920035,"External","Care Center",0.0576923076923077,12,6,12,0.0576923076923077
"1908",2921031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1909",2921033,"External",NA,0,0,NA,NA,NA
"1910",3002002,"External",NA,0,0,NA,NA,NA
"1911",3005002,"External",NA,0,0,NA,NA,NA
"1912",3006004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1913",3010003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1914",3010004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1915",3012002,"External",NA,0,0,NA,NA,NA
"1916",3018002,"External",NA,0,0,NA,NA,NA
"1917",3018003,"External",NA,0,0,NA,NA,NA
"1918",3019003,"External","Non Relative",45,20,4,20,45
"1919",3021003,"External",NA,0,0,NA,NA,NA
"1920",3021004,"External",NA,0,0,NA,NA,NA
"1921",3023003,"External",NA,0,0,NA,NA,NA
"1922",3023004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1923",3024003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1924",3025003,"External",NA,0,0,NA,NA,NA
"1925",3025004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1926",3027002,"External","Relative",0,70,3,30,0
"1927",3030003,"External","Non Relative",60,40,4,40,60
"1928",3032003,"External",NA,0,0,NA,NA,NA
"1929",3033002,"External","Non Relative",60,28,2,28,60
"1930",3034004,"External",NA,0,0,NA,NA,NA
"1931",3036004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1932",3036005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1933",3037002,"External",NA,0,0,NA,NA,NA
"1934",3037004,"External","Relative",0,45,1,45,0
"1935",3041003,"External",NA,0,0,NA,NA,NA
"1936",3041004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1937",3043003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1938",3045003,"External",NA,0,0,NA,NA,NA
"1939",3045004,"External","Non Relative",200,45,2,45,200
"1940",3046005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1941",3046007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1942",3047005,"External",NA,0,0,NA,NA,NA
"1943",3047006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1944",3049004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1945",3049005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1946",3050003,"External",NA,0,0,NA,NA,NA
"1947",3050004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1948",3055003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1949",3055004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1950",3056003,"External",NA,0,0,NA,NA,NA
"1951",3057004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1952",3057005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1953",3059003,"External",NA,0,0,NA,NA,NA
"1954",3059004,"External",NA,0,0,NA,NA,NA
"1955",3061003,"External",NA,0,0,NA,NA,NA
"1956",3061004,"External","Care Center",172.5,40,6,40,172.5
"1957",3063005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1958",3063006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1959",3064006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1960",3064007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1961",3066003,"External","Care Center",142,45,6,45,142
"1962",3070003,"External",NA,0,0,NA,NA,NA
"1963",3073002,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1964",3075004,"External",NA,0,0,NA,NA,NA
"1965",3078003,"External","Care Center",75,32,6,32,75
"1966",3079005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1967",3080003,"External",NA,0,0,NA,NA,NA
"1968",3082003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1969",3082004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1970",3085003,"External",NA,0,0,NA,NA,NA
"1971",3085004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1972",3088004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1973",3088005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1974",3089006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1975",3089007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1976",3090003,"External",NA,0,0,NA,NA,NA
"1977",3090004,"External","Non Relative",175,60,2,60,175
"1978",3091003,"External",NA,0,0,NA,NA,NA
"1979",3091004,"External",NA,0,0,NA,NA,NA
"1980",3092003,"External","Care Center",30,6,6,6,30
"1981",3092004,"External",NA,0,0,NA,NA,NA
"1982",3093002,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1983",3094003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1984",3094004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1985",3095003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1986",3095004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1987",3096003,"External",NA,0,0,NA,NA,NA
"1988",3098003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1989",3098004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1990",3099004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1991",3099005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1992",3105003,"External",NA,0,0,NA,NA,NA
"1993",3105004,"External",NA,0,0,NA,NA,NA
"1994",3108004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1995",3109003,"External","Care Center",48.75,3,6,3,48.75
"1996",3110003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1997",3110005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"1998",3111004,"External",NA,0,0,NA,NA,NA
"1999",3111005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2000",3113003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2001",3115004,"External","Non Relative",40,40,2,40,40
"2002",3116002,"External","Non Relative",62.5,50,4,50,62.5
"2003",3117005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2004",3117006,"External","Non Relative",0,16,4,16,0
"2005",3121004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2006",3123003,"External","Relative",0,15,1,15,0
"2007",3124003,"External",NA,0,0,NA,NA,NA
"2008",3125004,"External",NA,0,0,NA,NA,NA
"2009",3125005,"External","Relative",0,12,1,12,0
"2010",3126004,"External","Non Relative",25,40,2,40,25
"2011",3127003,"External",NA,0,0,NA,NA,NA
"2012",3127004,"External",NA,0,0,NA,NA,NA
"2013",3128004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2014",3128006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2015",3129003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2016",3129004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2017",3130002,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2018",3131002,"External","Relative",50,9,3,9,50
"2019",3131003,"External","Non Relative",50,9,2,9,50
"2020",3133003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2021",3135003,"External",NA,0,0,NA,NA,NA
"2022",3135004,"External",NA,0,0,NA,NA,NA
"2023",3136003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2024",3140003,"External",NA,0,0,NA,NA,NA
"2025",3140004,"External","Care Center",62.5,8,6,8,62.5
"2026",3141005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2027",3143004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2028",3144003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2029",3147006,"External","Non Relative",100,40,4,40,100
"2030",3149003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2031",3151004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2032",3151005,"External",NA,0,0,NA,NA,NA
"2033",3154003,"External",NA,0,0,NA,NA,NA
"2034",3155005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2035",3155006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2036",3156003,"External","Relative",500,25,1,25,500
"2037",3156004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2038",3157004,"External",NA,0,0,NA,NA,NA
"2039",3157005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2040",3159003,"External","Care Center",92,10,6,10,92
"2041",3159004,"External",NA,0,0,NA,NA,NA
"2042",3161003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2043",3162005,"External",NA,0,0,NA,NA,NA
"2044",3162006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2045",3163004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2046",3167003,"External",NA,0,0,NA,NA,NA
"2047",3168003,"External",NA,0,0,NA,NA,NA
"2048",3168004,"External",NA,0,0,NA,NA,NA
"2049",3171005,"External",NA,0,0,NA,NA,NA
"2050",3172004,"External",NA,0,0,NA,NA,NA
"2051",3176004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2052",3176005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2053",3177003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2054",3178003,"External","Relative",NA,30,1,30,NA
"2055",3178005,"External","Relative",NA,30,1,30,NA
"2056",3179004,"External","Relative",50,40,1,40,50
"2057",3179006,"External","Relative",50,40,1,40,50
"2058",3189003,"External",NA,0,0,NA,NA,NA
"2059",3190003,"External",NA,0,0,NA,NA,NA
"2060",3191004,"External",NA,0,0,NA,NA,NA
"2061",3194003,"External",NA,0,0,NA,NA,NA
"2062",3194004,"External",NA,0,0,NA,NA,NA
"2063",3196003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2064",3196006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2065",3197005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2066",3198002,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2067",3200004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2068",3200006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2069",3202003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2070",3202005,"External",NA,0,0,NA,NA,NA
"2071",3204003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2072",3204004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2073",3205002,"External","Relative",0,NA,3,NA,0
"2074",3206004,"External",NA,0,0,NA,NA,NA
"2075",3207004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2076",3207005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2077",3211003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2078",3211004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2079",3212005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2080",3212007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2081",3217003,"External",NA,0,0,NA,NA,NA
"2082",3221003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2083",3221005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2084",3223003,"External",NA,0,0,NA,NA,NA
"2085",3223004,"External",NA,0,0,NA,NA,NA
"2086",3224006,"External",NA,0,0,NA,NA,NA
"2087",3224007,"External",NA,0,0,NA,NA,NA
"2088",3225003,"External","Relative",0,10,1,10,0
"2089",3225006,"External","Relative",60,9,1,9,60
"2090",3227003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2091",3227004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2092",3228003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2093",3228006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2094",3229003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2095",3229004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2096",3231003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2097",3232004,"External",NA,0,0,NA,NA,NA
"2098",3232005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2099",3233003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2100",3233004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2101",3237006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2102",3237007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2103",3238003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2104",3238004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2105",3239003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2106",3239004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2107",3240003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2108",3240006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2109",3242003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2110",3242004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2111",3243004,"External",NA,0,0,NA,NA,NA
"2112",3248004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2113",3248005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2114",3249004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2115",3249007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2116",3250003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2117",3250004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2118",3257003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2119",3257004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2120",3258004,"External","Non Relative",30,45,4,45,30
"2121",3258005,"External","Non Relative",30,45,4,45,30
"2122",3265003,"External","Care Center",0,15,6,15,0
"2123",3265004,"External","Relative",0,35,3,35,0
"2124",3270002,"External","Non Relative",30,21,4,21,30
"2125",3275003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2126",3275004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2127",3276004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2128",3277003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2129",3277004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2130",3279006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2131",3279007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2132",3282005,"External",NA,0,0,NA,NA,NA
"2133",3282007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2134",3289003,"External",NA,0,0,NA,NA,NA
"2135",3291003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2136",3294004,"External",NA,0,0,NA,NA,NA
"2137",3302003,"External",NA,0,0,NA,NA,NA
"2138",3302004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2139",3303007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2140",3308003,"External","Non Relative",40,36,4,36,40
"2141",3309003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2142",3309004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2143",3310003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2144",3311005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2145",3311007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2146",3312005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2147",3317003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2148",3317004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2149",3318003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2150",3320002,"External",NA,0,0,NA,NA,NA
"2151",3323003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2152",3323004,"External",NA,0,0,NA,NA,NA
"2153",3326003,"External",NA,0,0,NA,NA,NA
"2154",3328005,"External",NA,0,0,NA,NA,NA
"2155",3328006,"External",NA,0,0,NA,NA,NA
"2156",3330003,"External",NA,0,0,NA,NA,NA
"2157",3331006,"External",NA,0,0,NA,NA,NA
"2158",3331008,"External",NA,0,0,NA,NA,NA
"2159",3332003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2160",3332004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2161",3333003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2162",3336003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2163",3336005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2164",3343003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2165",3345003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2166",3345005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2167",3346003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2168",3347005,"External","Relative",50,40,3,40,50
"2169",3348006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2170",3349003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2171",3349004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2172",3350003,"External","Care Center",111.25,48,6,48,111.25
"2173",3352003,"External","Non Relative",70,45,2,45,70
"2174",3353003,"External","Care Center",75,32,6,32,75
"2175",3353004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2176",3355005,"External",NA,0,0,NA,NA,NA
"2177",3355006,"External","Non Relative",50,40,2,40,50
"2178",3356006,"External","Relative",0,NA,1,NA,0
"2179",3360002,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2180",3360003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2181",3365004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2182",3365005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2183",3367003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2184",3367004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2185",3368007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2186",3368008,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2187",3369004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2188",3369007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2189",3371004,"External",NA,0,0,NA,NA,NA
"2190",3371005,"External",NA,0,0,NA,NA,NA
"2191",3372007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2192",3372008,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2193",3373003,"External",NA,0,0,NA,NA,NA
"2194",3373004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2195",3374005,"External",NA,0,0,NA,NA,NA
"2196",3375005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2197",3375006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2198",3376006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2199",3376007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2200",3378003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2201",3378004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2202",3380004,"External",NA,0,0,NA,NA,NA
"2203",3380005,"External",NA,0,0,NA,NA,NA
"2204",3382003,"External",NA,0,0,NA,NA,NA
"2205",3382004,"External",NA,0,0,NA,NA,NA
"2206",3386003,"External",NA,0,0,NA,NA,NA
"2207",3386004,"External","Relative",100,30,1,30,100
"2208",3387003,"External","Relative",60,40,3,40,60
"2209",3389003,"External",NA,0,0,NA,NA,NA
"2210",3390003,"External","Relative",0,9,1,9,0
"2211",3396004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2212",3397003,"External","Care Center",25,40,6,30,0
"2213",3397007,"External","Non Relative",20,14,4,14,20
"2214",3403005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2215",3403006,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2216",3404003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2217",3404004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2218",3407003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2219",3407004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2220",3408004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2221",3409003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2222",3409004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2223",3413005,"External",NA,0,0,NA,NA,NA
"2224",3416003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2225",3417003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2226",3420004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2227",3420005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2228",3422003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2229",3422004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2230",3425004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2231",3427004,"External",NA,0,0,NA,NA,NA
"2232",3427005,"External",NA,0,0,NA,NA,NA
"2233",3429004,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2234",3429005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2235",3437003,"External",NA,0,0,NA,NA,NA
"2236",3437007,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2237",3441003,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"2238",3441005,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
